Reading from Channel 0,
Time (s),Voltage (V)
0.016441345,5.024414063
0.02691555,4.965820313
0.037242413,5.009765625
0.047547579,5.030273438
0.058186769,5.006835938
0.068708897,5.053710938
0.079137564,5.0390625
0.090560198,5.056640625
0.101015568,5.0625
0.11151123,5.056640625
0.129780054,4.954101563
0.140706539,4.954101563
0.151427031,5.041992188
0.162019014,4.962890625
0.17265296,4.95703125
0.183225155,5.07421875
0.193834782,4.998046875
0.204466105,4.995117188
0.215036869,4.965820313
0.225683451,4.98046875
0.23961997,4.95703125
0.25046277,4.9921875
0.261082888,4.948242188
0.271680355,5.065429688
0.282239914,5.056640625
0.292822599,4.948242188
0.303430319,5.059570313
0.313986778,5.059570313
0.324618101,5.059570313
0.335189342,4.95703125
0.348709822,4.96875
0.359455347,4.948242188
0.370092392,5.059570313
0.380699873,5.053710938
0.391269922,4.948242188
0.401856661,5.015625
0.412438393,5.056640625
0.423025608,5.053710938
0.433591843,5.05078125
0.444197178,5.041992188
0.457878828,4.954101563
0.468692064,5.041992188
0.479305744,5.00390625
0.489865065,5.041992188
0.500426054,4.962890625
0.510978699,5.05078125
0.521643162,5.041992188
0.532406569,5.041992188
0.543352604,5.000976563
0.554106712,5.07421875
0.568781614,4.95703125
0.579623699,5.041992188
0.590243578,5.059570313
0.600831509,4.948242188
0.61145997,5.024414063
0.622058868,5.024414063
0.632676125,5.056640625
0.643312931,5.041992188
0.653863668,5.059570313
0.664450645,5.024414063
0.678158045,4.948242188
0.688881159,5.041992188
0.699495316,4.995117188
0.710080624,5.056640625
0.720675707,4.948242188
0.731258154,5.036132813
0.742239952,4.989257813
0.75287199,5.059570313
0.763490915,5.059570313
0.774173021,5.059570313
0.787895679,5.05078125
0.798739433,4.95703125
0.809361458,5.015625
0.81998539,4.98046875
0.830585718,5.015625
0.841202259,4.98046875
0.851822853,5.05078125
0.862473011,4.959960938
0.873087168,5.009765625
0.883681774,5.024414063
0.897366047,4.986328125
0.908174992,5.056640625
0.918811321,5.065429688
0.929443121,5.059570313
0.940086365,4.95703125
0.950665951,4.948242188
0.961250067,5.059570313
0.97183919,5.030273438
0.982410431,5.041992188
0.993026972,5.00390625
1.006413221,5.056640625
1.017266512,4.983398438
1.028000593,5.056640625
1.038985729,5.05078125
1.049923897,5.056640625
1.060596466,5.041992188
1.071235895,4.948242188
1.081827402,5.012695313
1.092404127,5.015625
1.102990866,5.024414063
1.117751598,5.041992188
1.128609419,4.96875
1.139297962,4.965820313
1.149907827,5.059570313
1.160497904,5.059570313
1.171099424,5.059570313
1.18170619,4.95703125
1.192343712,5.000976563
1.202927113,5.05078125
1.213486195,4.965820313
1.227118731,5.065429688
1.237911463,4.95703125
1.248592615,5.047851563
1.259257555,5.041992188
1.269863129,5.015625
1.280448437,5.068359375
1.291027784,5.041992188
1.301606417,4.98046875
1.312183142,4.95703125
1.322791338,4.948242188
1.33656168,5.047851563
1.34726119,5.024414063
1.357894897,5.041992188
1.368506432,5.05078125
1.379071712,4.98046875
1.389644623,5.065429688
1.400229931,5.021484375
1.410809755,5.05078125
1.421393156,4.974609375
1.431961298,5.015625
1.445385933,4.986328125
1.45613122,5.056640625
1.466734409,5.0390625
1.477338552,5.05078125
1.487909079,5.021484375
1.498466253,4.98046875
1.509027719,5.053710938
1.519630909,4.96875
1.53041172,4.989257813
1.541352034,4.974609375
1.55587554,5.041992188
1.566713095,5.041992188
1.577387094,5.033203125
1.587974548,5.059570313
1.59856081,5.041992188
1.609121084,5.059570313
1.61976552,4.9921875
1.630350828,5.05078125
1.640942812,4.948242188
1.651551008,4.95703125
1.665472269,5.041992188
1.67633462,5.02734375
1.686974525,5.00390625
1.69761467,5.05078125
1.708198309,5.041992188
1.718798399,5.056640625
1.729398727,5.059570313
1.739975691,4.95703125
1.750547409,5.056640625
1.761154652,5.05078125
1.774598837,5.05078125
1.785392284,5.041992188
1.795996189,4.998046875
1.80657649,4.954101563
1.817148685,4.95703125
1.827766418,5.036132813
1.838341951,5.024414063
1.8489151,4.948242188
1.859483957,5.009765625
1.87004447,5.041992188
1.883177519,5.033203125
1.893868923,5.041992188
1.904464006,5.05078125
1.915025234,5.041992188
1.92564702,5.056640625
1.936259031,5.059570313
1.946853638,5.024414063
1.957434654,5.065429688
1.967991352,5.056640625
1.978573322,5.05078125
1.991824389,5.036132813
2.002522945,5.059570313
2.01312232,4.983398438
2.023706675,4.986328125
2.034425259,5.015625
2.045403004,4.962890625
2.056062222,5.059570313
2.066726923,5.059570313
2.077328205,5.05078125
2.087905884,5.056640625
2.102646351,5.041992188
2.113488197,5.041992188
2.124219656,4.986328125
2.134895563,4.98046875
2.145637989,5.059570313
2.156258106,5.041992188
2.166880608,5.053710938
2.177473545,5.041992188
2.188061237,4.95703125
2.198637247,4.95703125
2.212658167,5.059570313
2.223424196,5.015625
2.234113693,5.015625
2.244745493,5.00390625
2.255322456,5.041992188
2.265948057,5.041992188
2.276566267,4.96875
2.287152767,4.95703125
2.297737837,5.015625
2.308294296,5.056640625
2.321690321,4.962890625
2.332472324,4.96875
2.343076229,5.015625
2.353726387,5.059570313
2.364295006,4.98046875
2.374869347,4.96875
2.385432482,5.047851563
2.396021128,4.95703125
2.406597137,4.983398438
2.417170525,4.983398438
2.430372,4.962890625
2.441102743,5.05078125
2.451738834,5.00390625
2.462395906,4.995117188
2.472991467,4.9921875
2.483577967,4.9921875
2.494153738,4.95703125
2.5047369,5.065429688
2.515290737,4.986328125
2.525916815,5.059570313
2.540893555,4.971679688
2.551855326,5.00390625
2.562525511,5.059570313
2.57312274,5.024414063
2.583731651,5.071289063
2.59434557,5.056640625
2.605023146,4.954101563
2.615627527,5.056640625
2.626211643,5.053710938
2.636776924,4.986328125
2.650746107,5.05078125
2.66147542,5.009765625
2.672118187,5.033203125
2.682700872,5.041992188
2.693254232,4.95703125
2.703835011,5.00390625
2.714408636,5.059570313
2.72501421,4.971679688
2.735595226,5.05078125
2.746160269,4.95703125
2.759594679,4.954101563
2.770430565,4.977539063
2.781037569,5.015625
2.791624784,5.0625
2.802198887,4.962890625
2.812778473,5.024414063
