frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,179.6,9,990,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,179.6,10,832,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,292.2,11,830,836,,,,,,,,,,,,,,,,,,,,,,,,,9,999,835,,,,,,
3,315.8,10,832,839,,,,,,,,,,,,,,,,,,,,,,,,,7,990,836,,,,,,
4,340.3,5,995,993,,,,,,,,,,,,,,,,,,,,,,,,,5,999,832,,,,,,
5,380.1,8,829,837,,,,,,,9,995,838,,,,,,,6,996,997,,,,,,,,,,,,,,,
6,1054.0,8,829,837,,,,,,,9,995,837,,,,,,,9,996,1001,,,,,,,,,,,,,,,
7,1171.5,8,829,837,,,,,,,9,994,837,,,,,,,8,996,1001,,,,,,,,,,,,,,,
8,1545.4,8,829,837,,,,,,,9,995,837,,,,,,,8,996,1001,,,,,,,,,,,,,,,
9,1590.7,8,829,837,,,,,,,9,994,836,,,,,,,8,996,1001,,,,,,,,,,,,,,,
10,1633.7,8,829,837,,,,,,,9,995,836,,,,,,,8,996,1001,,,,,,,,,,,,,,,
11,1756.2,8,829,837,,,,,,,9,995,838,,,,,,,8,995,1001,,,,,,,,,,,,,,,
12,1879.6,8,829,837,,,,,,,9,995,837,,,,,,,9,995,1001,,,,,,,,,,,,,,,
13,2297.0,8,829,837,,,,,,,9,994,837,,,,,,,8,995,1002,,,,,,,,,,,,,,,
14,2419.7,8,829,837,,,,,,,9,994,837,,,,,,,9,996,1001,,,,,,,,,,,,,,,
15,2464.8,8,829,837,,,,,,,9,995,838,,,,,,,8,996,1001,,,,,,,,,,,,,,,
16,2628.8,8,828,837,,,,,,,9,994,838,,,,,,,9,996,1002,,,,,,,,,,,,,,,
