time,time (seconds),position_px_x-darkorange,position_px_y-darkorange,position_px_x-darkorange,smoothing position_x,position_px_y-darkorange,smoothing_position_y,position_px_magnitude,velocity_px_x-darkorange,velocity_px_y-darkoranage,velocity_magnitude,acceleration_px_x-darkorange,acceleration_px_y-darkorange,acceleration_magnitude,calculated gravity
16609.9,0,444,94,0.4582043344,,0.09700722394,,0.4683605593,0.02890733177,0.02890733177,0.4692517953,,,,
16645.6,0.0357,445,95,0.4592363261,0.4588923289,0.09803921569,0.09803921569,0.4695845941,0,0.03195020879,0.4695845941,,,,
16677.9,0.068,445,96,0.4592363261,0.4595803234,0.09907120743,0.09975920193,0.469801136,0.03235083837,0.09705251512,0.4709136695,1.001573943,2.015551279,2.250688189,35.84436834
16709.8,0.0999,446,99,0.4602683179,0.4602683179,0.1021671827,0.1025111799,0.4714711631,0.02882658503,0.1153063401,0.4723515954,-0.1104781612,0.5722202195,0.5827876146,9.28145179
16745.6,0.1357,447,103,0.4613003096,0.4613003096,0.1062951496,0.1062951496,0.4733884604,0.03214927552,0.1285971021,0.474478883,0.09281258342,0.3712503337,0.3826760848,6.094483725
16777.7,0.1678,448,107,0.4623323013,0.4619883041,0.1104231166,0.1111111111,0.4753361143,0,0.1911095822,0.4753361143,-1.001535063,1.947429289,2.189875183,34.87586288
16810.1,0.2002,448,113,0.4623323013,0.4630202958,0.1166150671,0.1169590643,0.476812574,0.05797706427,0.202919725,0.4803244432,1.789415564,0.3645105778,1.826164292,29.08341807
16845.7,0.2358,450,120,0.4643962848,0.4637082903,0.1238390093,0.1241830065,0.4806246036,0,0.2571942041,0.4806246036,-1.628569221,1.524564022,2.230814462,35.52786017
16877.8,0.2679,450,128,0.4643962848,0.4647402821,0.1320949432,0.1324389405,0.4828177538,0.03214927552,0.2893434796,0.4838869282,1.001535063,1.001535063,1.416384469,22.55728131
16909.9,0.3,451,137,0.4654282766,0.4654282766,0.1413828689,0.1417268662,0.4864284082,0.02858702892,0.2858702892,0.4872677031,-0.1109734142,-0.1081990788,0.1549907717,2.468376711
16946,0.3361,452,147,0.4664602683,0.4668042656,0.1517027864,0.1520467836,0.4905088351,0.06470167674,0.3558592221,0.494757743,1.000405757,1.938751603,2.181643751,34.74476944
16977.9,0.368,454,158,0.4685242518,0.4681802546,0.1630546956,0.1633986928,0.4960864927,0.03214927552,0.3857913062,0.4971271308,-1.020451449,0.9383098464,1.386270727,22.07769108
17010,0.4001,455,170,0.4695562436,0.4695562436,0.1754385965,0.176126591,0.5012601789,0.02858702892,0.4002184049,0.5020746809,-0.1109734142,0.4494423274,0.4629400655,7.37276461
17046.1,0.4362,456,184,0.4705882353,0.4705882353,0.1898864809,0.1898864809,0.5074545919,0.03265796658,0.4572115322,0.5085043811,0.1127683563,1.578756988,1.582779306,25.20727869
17077.7,0.4678,457,198,0.471620227,0.4719642243,0.2043343653,0.2046783626,0.5139826567,0.05913992803,0.4435494602,0.5173738518,0.8380367545,-0.43234405,0.9429883242,15.01799361
17112.6,0.5027,459,213,0.4736842105,0.4733402133,0.2198142415,0.2201582387,0.5222020989,0.03117799831,0.498847973,0.5231320098,-0.8012014245,1.584484606,1.775532368,28.27705611
17145.7,0.5358,460,229,0.4747162023,0.4750601995,0.2363261094,0.2370141039,0.5302881318,0.06273506043,0.5646155439,0.5339861332,0.9533855625,1.986935677,2.2038279,35.09807329
17178.6,0.5687,462,247,0.4767801858,0.4764361885,0.2549019608,0.2549019608,0.5406425392,0.03286597911,0.591587624,0.5416405891,-0.9078748121,0.8198200645,1.223250429,19.48143646
17210,0.6001,463,265,0.4778121775,0.4781561748,0.2734778122,0.2738218094,0.5505402717,0.05717405784,0.5431535495,0.5535010963,0.7741426348,-1.542486448,1.725850881,27.48583076
17246.1,0.6362,465,284,0.479876161,0.4795321637,0.2930856553,0.2930856553,0.5622991475,0.03245257057,0.6165988408,0.5632348538,-0.6848057417,2.034495603,2.146655833,34.18755328
17277.9,0.668,466,303,0.4809081527,0.48125215,0.3126934985,0.3133814929,0.5736286912,0.06409886609,0.673038094,0.5771988739,0.9951665259,1.774819282,2.034782518,32.40586343
17310.1,0.7002,468,324,0.4829721362,0.4829721362,0.3343653251,0.3343653251,0.5874199988,0.05781466353,0.6070539671,0.5902582404,-0.1951615701,-2.049196486,2.058468916,32.78309203
17345.8,0.7359,470,345,0.4850361197,0.4846921225,0.3560371517,0.356381149,0.6016830485,0.02991280418,0.6580816919,0.6024261504,-0.7815646879,1.429348033,1.629073098,25.94455175
17380.3,0.7704,471,367,0.4860681115,0.4864121087,0.3787409701,0.3794289646,0.6162036444,0.06949439354,0.8339327225,0.620109992,1.147292445,5.097131322,5.224655746,83.20765441
17410,0.8001,473,391,0.4881320949,0.4881320949,0.4035087719,0.4031647747,0.6333184595,0.05781466353,0.6648686306,0.63595189,-0.3932569026,-5.692393665,5.705961499,90.8729102
17445.7,0.8358,475,414,0.4901960784,0.4901960784,0.427244582,0.4279325765,0.6502538952,0.06429855103,0.8037318879,0.653425154,0.1816214986,3.889727094,3.893964976,62.01512746
17477.8,0.8679,477,439,0.4922600619,0.4919160647,0.4530443756,0.4530443756,0.6690061097,0.032249742,0.8062435501,0.6697829654,-0.9984052657,0.07824492678,1.001466596,15.94931618
17509.8,0.8999,478,464,0.4932920537,0.4936360509,0.4788441692,0.4791881665,0.6874800278,0.05765317006,0.7494912108,0.6898932357,0.7938571268,-1.773510602,1.943077197,30.94536823
17545.6,0.9357,480,490,0.4953560372,0.4957000344,0.5056759546,0.5056759546,0.7078741234,0.09644782655,0.8358811634,0.714414416,1.083649623,2.413127169,2.645274889,42.12854003
17577.7,0.9678,483,516,0.4984520124,0.4977640179,0.5325077399,0.5331957344,0.7293962584,0.032249742,0.9029927761,0.7301088601,-1.999940329,2.090704444,2.893234589,46.07753611
17609.7,0.9998,484,544,0.4994840041,0.4998280014,0.5614035088,0.5610595115,0.7514374026,0.05749257627,0.7761497797,0.7536335757,0.7888385709,-3.963843637,4.041574282,64.36594724
17645.6,1.0357,486,571,0.5015479876,0.5015479876,0.5892672859,0.5899552804,0.7738128443,0.06331237694,0.9180294656,0.776398593,0.1621114391,3.952080388,3.955403837,62.99360024
17678.2,1.0683,488,600,0.5036119711,0.5036119711,0.6191950464,0.6191950464,0.7981400397,0.06470167674,0.9381743128,0.8007582843,0.04261655851,0.6179400984,0.6194078917,9.86466483
17710.1,1.1002,490,629,0.5056759546,0.5056759546,0.649122807,0.6494668043,0.8228417768,0.05814037995,0.8721056992,0.8248932618,-0.2056832852,-2.071116413,2.081304593,33.1467721
17745.6,1.1357,492,659,0.5077399381,0.5080839353,0.6800825593,0.6804265566,0.8487120432,0.08845643521,0.9140498305,0.8533092483,0.8539733876,1.181524824,1.457831079,23.21735834
17780.6,1.1707,495,690,0.5108359133,0.5104919161,0.7120743034,0.7120743034,0.8763578857,0.0697291719,1.080802164,0.8791275797,-0.535064666,4.764352398,4.7943037,76.35388527
17810.2,1.2003,497,721,0.5128998968,0.5128998968,0.7440660475,0.7444100447,0.9037148816,0.05863589455,0.9381743128,0.9056151254,-0.3747728833,-4.8185085,4.833061026,76.97113286
